accuracy,execution_time,memory_usage,precision,recall,f1_score,algorithm,dataset
0.8916666666666667,0.0023040771484375,618840064,0.9090909090909091,0.88,0.8943089430894309,nb,dataset_4_600_value.csv
0.9,0.0015249252319335938,628801536,0.9210526315789473,0.8860759493670886,0.9032258064516129,nb,dataset_4_750_value.csv
0.875,0.001065969467163086,606699520,0.8397790055248618,0.9047619047619048,0.8710601719197708,nb,dataset_4_900_value.csv
0.8976190476190476,0.0009920597076416016,598966272,0.91324200913242,0.8928571428571429,0.9029345372460497,nb,dataset_4_1050_value.csv
0.7895833333333333,0.0018239021301269531,647331840,0.7422680412371134,0.8925619834710744,0.8105065666041276,nb,dataset_4_1200_value.csv
0.8703703703703703,0.0023910999298095703,603635712,0.8412698412698413,0.8760330578512396,0.8582995951417005,nb,dataset_4_1350_value.csv
0.8866666666666667,0.0020971298217773438,597688320,0.8951048951048951,0.8707482993197279,0.8827586206896552,nb,dataset_4_1500_value.csv
0.8833333333333333,0.0006818771362304688,579305472,0.8461538461538461,0.88,0.8627450980392156,nb,dataset_5_150_value.csv
0.8583333333333333,0.002145051956176758,632553472,0.873015873015873,0.859375,0.8661417322834646,nb,dataset_5_300_value.csv
0.8888888888888888,0.001522064208984375,617398272,0.8316831683168316,0.9655172413793104,0.8936170212765958,nb,dataset_5_450_value.csv
0.8916666666666667,0.0016357898712158203,609648640,0.8322147651006712,0.992,0.9051094890510948,nb,dataset_5_600_value.csv
0.89,0.0016829967498779297,651427840,0.8453038674033149,0.9683544303797469,0.9026548672566371,nb,dataset_5_750_value.csv
0.8638888888888889,0.002485990524291992,642252800,0.784688995215311,0.9761904761904762,0.870026525198939,nb,dataset_5_900_value.csv
0.888095238095238,0.005173921585083008,634929152,0.852589641434263,0.9553571428571429,0.9010526315789473,nb,dataset_5_1050_value.csv
0.8916666666666667,0.0010349750518798828,696565760,0.8442028985507246,0.9628099173553719,0.8996138996138997,nb,dataset_5_1200_value.csv
0.8796296296296297,0.0020818710327148438,691830784,0.8105263157894737,0.9545454545454546,0.8766603415559773,nb,dataset_5_1350_value.csv
0.88,0.0019762516021728516,673890304,0.8171428571428572,0.9727891156462585,0.888198757763975,nb,dataset_5_1500_value.csv
0.9833333333333333,0.7582619190216064,681672704,0.9615384615384616,1.0,0.9803921568627451,mlp,dataset_1_150_value.csv
0.975,4.380542993545532,654901248,0.9841269841269841,0.96875,0.9763779527559054,mlp,dataset_1_300_value.csv
0.9611111111111111,6.3433473110198975,639893504,0.9444444444444444,0.9770114942528736,0.96045197740113,mlp,dataset_1_450_value.csv
0.9666666666666667,8.414414167404175,424001536,0.975609756097561,0.96,0.9677419354838709,mlp,dataset_1_600_value.csv
0.9666666666666667,10.006253719329834,447545344,0.9683544303797469,0.9683544303797469,0.9683544303797469,mlp,dataset_1_750_value.csv
0.9583333333333334,6.649618864059448,451641344,0.9693251533742331,0.9404761904761905,0.9546827794561933,mlp,dataset_1_900_value.csv
0.9547619047619048,12.190087080001831,374538240,0.9596412556053812,0.9553571428571429,0.9574944071588367,mlp,dataset_1_1050_value.csv
0.975,14.039973020553589,444039168,0.9872881355932204,0.9628099173553719,0.9748953974895397,mlp,dataset_1_1200_value.csv
0.9629629629629629,14.082886695861816,394313728,0.9586776859504132,0.9586776859504132,0.9586776859504132,mlp,dataset_1_1350_value.csv
0.9666666666666667,14.841061115264893,421298176,0.9691780821917808,0.9625850340136054,0.9658703071672354,mlp,dataset_1_1500_value.csv
