"No.","Time","Source","Destination","Protocol","Length","Info"
"933","51.006561410","142.251.42.206","192.168.56.105","TCP","60","443  >  34184 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"934","51.007636705","192.168.56.105","142.251.42.206","TCP","60","34184  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"935","51.018027772","192.168.56.105","142.251.42.206","TLSv1.3","714","Client Hello"
"936","51.019663617","192.168.56.105","142.251.42.206","TLSv1.3","230","Change Cipher Spec, Application Data"
"937","51.020861495","142.251.42.206","192.168.56.105","TCP","60","443  >  34184 [ACK] Seq=1 Ack=661 Win=65535 Len=0"
"938","51.022397919","142.251.42.206","192.168.56.105","TCP","60","443  >  34184 [ACK] Seq=1 Ack=837 Win=65535 Len=0"
"939","51.058055527","142.251.42.206","192.168.56.105","QUIC","413","Protected Payload (KP0), DCID=7096a5"
"940","51.058830379","142.251.42.206","192.168.56.105","QUIC","118","Protected Payload (KP0), DCID=7096a5"
"941","51.061472420","192.168.56.105","142.251.42.206","QUIC","78","Protected Payload (KP0), DCID=f1f1350c7c842ff7"
"942","51.062357449","192.168.56.105","142.251.42.206","QUIC","73","Protected Payload (KP0), DCID=f1f1350c7c842ff7"
"943","51.066459701","142.251.42.206","192.168.56.105","TLSv1.3","884","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data"
"944","51.066952037","192.168.56.105","142.251.42.206","TCP","60","34184  >  443 [ACK] Seq=837 Ack=831 Win=63910 Len=0"
"945","51.067987280","142.251.42.206","192.168.56.105","TLSv1.3","85","Application Data"
"946","51.069013844","192.168.56.105","142.251.42.206","TCP","60","34184  >  443 [ACK] Seq=837 Ack=862 Win=63910 Len=0"
"947","51.070174976","192.168.56.105","142.251.42.206","TLSv1.3","138","Application Data, Application Data"
"948","51.070883170","142.251.42.206","192.168.56.105","TCP","60","443  >  34184 [ACK] Seq=862 Ack=921 Win=65535 Len=0"
"949","51.072454776","192.168.56.105","142.251.42.206","TLSv1.3","85","Application Data"
"950","51.074163675","142.251.42.206","192.168.56.105","TCP","60","443  >  34184 [ACK] Seq=862 Ack=952 Win=65535 Len=0"
"951","51.093946463","142.251.42.206","192.168.56.105","QUIC","69","Protected Payload (KP0), DCID=7096a5"
"952","51.232972621","192.168.56.105","142.251.42.206","QUIC","938","Protected Payload (KP0), DCID=f1f1350c7c842ff7"
"953","51.242510293","142.251.42.206","192.168.56.105","QUIC","72","Protected Payload (KP0), DCID=7096a5"
"954","51.265881196","192.168.56.105","142.251.42.206","QUIC","74","Protected Payload (KP0), DCID=f1f1350c7c842ff7"
"955","51.265881953","192.168.56.105","34.107.221.82","TCP","60","[TCP Keep-Alive] 53744  >  80 [ACK] Seq=591 Ack=433 Win=64024 Len=0"
"956","51.268584267","34.107.221.82","192.168.56.105","TCP","60","[TCP Keep-Alive ACK] 80  >  53744 [ACK] Seq=433 Ack=592 Win=65535 Len=0"
"957","51.288546353","142.251.42.206","192.168.56.105","QUIC","217","Protected Payload (KP0), DCID=7096a5"
"958","51.293083615","142.251.42.206","192.168.56.105","QUIC","110","Protected Payload (KP0), DCID=7096a5"
"959","51.294473938","192.168.56.105","142.251.42.206","QUIC","78","Protected Payload (KP0), DCID=f1f1350c7c842ff7"
"960","51.297558358","192.168.56.105","142.251.42.206","QUIC","73","Protected Payload (KP0), DCID=f1f1350c7c842ff7"
"961","51.331810820","142.251.42.206","192.168.56.105","QUIC","69","Protected Payload (KP0), DCID=7096a5"
"962","51.937048971","192.168.56.105","172.217.175.34","TLSv1.3","93","Application Data"
"963","51.937049306","192.168.56.105","142.250.207.6","TLSv1.3","93","Application Data"
"964","51.940318802","172.217.175.34","192.168.56.105","TCP","60","443  >  37666 [ACK] Seq=940 Ack=1081 Win=65535 Len=0"
"965","51.940319193","142.250.207.6","192.168.56.105","TCP","60","443  >  49332 [ACK] Seq=940 Ack=1076 Win=65535 Len=0"
"966","51.948726173","142.250.207.6","192.168.56.105","TLSv1.3","93","Application Data"
"967","51.948726567","172.217.175.34","192.168.56.105","TLSv1.3","93","Application Data"
"968","51.948726620","192.168.56.105","142.250.207.6","TCP","60","49332  >  443 [ACK] Seq=1076 Ack=979 Win=63910 Len=0"
"969","51.951654730","192.168.56.105","172.217.175.34","TCP","60","37666  >  443 [ACK] Seq=1081 Ack=979 Win=63910 Len=0"
"970","52.215952309","192.168.56.105","142.251.42.206","QUIC","784","Protected Payload (KP0), DCID=f1f1350c7c842ff7"
"971","52.226917555","142.251.42.206","192.168.56.105","QUIC","72","Protected Payload (KP0), DCID=7096a5"
"972","52.249521492","192.168.56.105","142.251.42.206","QUIC","74","Protected Payload (KP0), DCID=f1f1350c7c842ff7"
"973","52.282784652","142.251.42.206","192.168.56.105","QUIC","246","Protected Payload (KP0), DCID=7096a5"
"974","52.284028480","192.168.56.105","142.251.42.206","QUIC","78","Protected Payload (KP0), DCID=f1f1350c7c842ff7"
"975","52.287469640","142.251.42.206","192.168.56.105","QUIC","148","Protected Payload (KP0), DCID=7096a5"
"976","52.289445060","192.168.56.105","142.251.42.206","QUIC","73","Protected Payload (KP0), DCID=f1f1350c7c842ff7"
"977","52.319503169","142.251.42.206","192.168.56.105","QUIC","69","Protected Payload (KP0), DCID=7096a5"
"978","57.945677309","192.168.56.105","172.217.175.34","TLSv1.3","93","Application Data"
"979","57.945677665","192.168.56.105","142.250.207.6","TLSv1.3","93","Application Data"
"980","57.947978280","172.217.175.34","192.168.56.105","TCP","60","443  >  37666 [ACK] Seq=979 Ack=1120 Win=65535 Len=0"
